,ChannelName,Calibration,DecayTime
0,Y1/2,1.,1.e9
1,Y3/4,1.,1.e9
2,Y5,1.,1.e9
3,Y7/8,1.,1.e9
4,Y9/10,1.,1.e9
5,Y11/12,1.,1.e9
6,Y13/14,1.,1.e9
7,Y15/16,1.,1.e9
8,Y17/18,1.,1.e9
9,Y19/20,1.,1.e9
10,Y21/22,1.,1.e9
11,Y23/24,1.,1.e9
12,Y25/26,1.,1.e9
13,Y27/28,1.,1.e9
14,Y29/30,1.,1.e9
15,Y6,1.,1.e9
16,X1/2,1.,1.e9
17,X3/4,1.,1.e9
18,X5/6,1.,1.e9
19,X7/8,1.,1.e9
20,X9/10,1.,1.e9
21,X11/12,1.,1.e9
22,X13/14,1.,1.e9
23,X15/16,1.,1.e9
24,X17/18,1.,1.e9
25,X19,1.,1.e9
26,X20,1.,1.e9
27,X21/22,1.,1.e9
28,X23,1.,1.e9
29,X25/26,1.,1.e9
30,X27/28,1.,1.e9
31,X29/30,1.,1.e9
32,1-4,0.004863813,1e+09
33,2-1,0.006277464,1e+09
34,2-6,0.006877579,1e+09
35,1-1,0.004863813,1e+09
36,1-2,0.004863813,1e+09
37,1-3,0.004863813,1e+09
38,1-5,0.004863813,1e+09
39,1-6,0.004863813,1e+09
40,2-2,0.004863813,1e+09
41,2-3,0.004863813,1e+09
42,2-4,0.004863813,1e+09
43,2-5,0.004863813,1e+09
