Board,InputChannel,SoftwareChannel,ChannelType,ChannelName,NumDevicesInChannel,IsAmplified,IsDead,ChannelPosX,ChannelPosY,MCChannelMap
0,0,0,TileStrip,X1-12,12,TRUE,FALSE,-25.5,0,0
0,1,1,TileStrip,X13,1,TRUE,FALSE,-7.5,0,0
0,2,2,TileStrip,X14,1,TRUE,FALSE,-4.5,0,0
0,3,3,TileStrip,X15,1,TRUE,FALSE,-1.5,0,0
0,4,4,TileStrip,X16,1,TRUE,FALSE,1.5,0,0
0,5,5,TileStrip,X17,1,TRUE,FALSE,4.5,0,0
0,6,6,TileStrip,X18,1,TRUE,FALSE,7.5,0,0
0,7,7,TileStrip,X19,1,TRUE,FALSE,10.5,0,0
0,8,8,TileStrip,X20,1,TRUE,FALSE,13.5,0,0
0,9,9,TileStrip,X21,1,TRUE,FALSE,16.5,0,0
0,10,10,TileStrip,X22,1,TRUE,FALSE,19.5,0,0
0,11,11,TileStrip,X23/24,2,TRUE,FALSE,24,0,0
0,12,12,TileStrip,X25/26,2,TRUE,FALSE,30,0,0
0,13,13,TileStrip,X27/28,2,TRUE,FALSE,36,0,0
0,14,14,TileStrip,X29/30,2,TRUE,FALSE,42,0,0
0,15,15,SiPM,1-3,2,FALSE,FALSE,-1000,-1000,
1,0,16,TileStrip,Y1-10,10,TRUE,FALSE,0,-28.5,0
1,1,17,TileStrip,Y11,1,TRUE,FALSE,0,-13.5,0
1,2,18,TileStrip,Y12,1,TRUE,FALSE,0,-10.5,0
1,3,19,TileStrip,Y13,1,TRUE,FALSE,0,-7.5,0
1,4,20,TileStrip,Y14,1,TRUE,FALSE,0,-4.5,0
1,5,21,TileStrip,Y15,1,TRUE,FALSE,0,-1.5,0
1,6,22,TileStrip,Y16,1,TRUE,FALSE,0,1.5,0
1,7,23,TileStrip,Y17,1,TRUE,FALSE,0,4.5,0
1,8,24,TileStrip,Y18,1,TRUE,FALSE,0,7.5,0
1,9,25,TileStrip,Y19,1,TRUE,FALSE,0,10.5,0
1,10,26,TileStrip,Y20,1,TRUE,FALSE,0,13.5,0
1,11,27,TileStrip,Y21/22,2,TRUE,FALSE,0,18,0
1,12,28,TileStrip,Y23/24,2,TRUE,FALSE,0,24,0
1,13,29,TileStrip,Y25/26,2,TRUE,FALSE,0,30,0
1,14,30,TileStrip,Y27/28,2,TRUE,FALSE,0,36,0
1,15,31,TileStrip,Y29/30,2,TRUE,FALSE,0,42,0
